tolerance,model,denominator,pass_count,pass_rate,model_rank
0.10,Opus,100,72,0.72,1
0.10,GPT-5,100,64,0.64,2
0.10,GPT-4o,100,53,0.53,3
0.10,Sonnet,100,42,0.42,4
0.10,o3,100,38,0.38,5
0.10,Gemini,100,32,0.32,6
0.10,Kimi,100,9,0.09,7
0.25,Opus,100,84,0.84,1
0.25,GPT-5,100,71,0.71,2
0.25,GPT-4o,100,59,0.59,3
0.25,Sonnet,100,48,0.48,4
0.25,o3,100,44,0.44,5
0.25,Gemini,100,32,0.32,6
0.25,Kimi,100,9,0.09,7
0.50,Opus,100,88,0.88,1
0.50,GPT-5,100,72,0.72,2
0.50,GPT-4o,100,62,0.62,3
0.50,Sonnet,100,50,0.5,4
0.50,o3,100,46,0.46,5
0.50,Gemini,100,32,0.32,6
0.50,Kimi,100,10,0.1,7
0.75,Opus,100,88,0.88,1
0.75,GPT-5,100,72,0.72,2
0.75,GPT-4o,100,63,0.63,3
0.75,Sonnet,100,50,0.5,4
0.75,o3,100,47,0.47,5
0.75,Gemini,100,32,0.32,6
0.75,Kimi,100,13,0.13,7
1.00,Opus,100,88,0.88,1
1.00,GPT-5,100,72,0.72,2
1.00,GPT-4o,100,63,0.63,3
1.00,Sonnet,100,50,0.5,4
1.00,o3,100,47,0.47,5
1.00,Gemini,100,32,0.32,6
1.00,Kimi,100,14,0.14,7
