scenario_id,method_family,difficulty,origin,data_file_exists,n_rows,n_columns,dgp_effect,dgp_direction,gt_direction,canonical_status,canonical_estimated,canonical_sign_correct,hard_pass,issues,warnings
s01,DID,easy,human_written,1,1600,6,-0.3,negative,negative,FLAGGED,-0.238664,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s02,DID,easy,human_written,1,1600,6,-0.15,negative,negative,FLAGGED,-0.187556,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s03,DID,easy,human_written,1,1600,6,0.25,positive,positive,FLAGGED,0.284571,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s04,DID,medium,human_written,1,1600,6,0.2,positive,positive,FLAGGED,0.105831,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s05,DID,medium,human_written,1,1600,6,0.18,positive,positive,FLAGGED,0.263036,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s06,DID,medium,human_written,1,1600,6,0.22,positive,positive,FLAGGED,0.249357,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s07,DID,medium,human_written,1,1600,6,-0.12,negative,negative,FLAGGED,-0.159497,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s08,DID,hard,human_written,1,1600,6,-0.25,negative,negative,FLAGGED,-0.304917,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s09,DID,hard,human_written,1,1600,6,0.28,positive,positive,VERIFIED,0.2975,1,1,,
s10,DID,hard,human_written,1,1600,6,0.35,positive,positive,VERIFIED,0.369059,1,1,,
s100,RDD,hard,llm_templated,1,400,4,0.22,positive,positive,VERIFIED,0.199386,1,1,,
s11,EVENT_STUDY,easy,human_written,1,1680,5,-0.02,negative,negative,VERIFIED,-0.020114,1,1,,
s12,EVENT_STUDY,easy,human_written,1,1680,5,-0.025,negative,negative,VERIFIED,-0.02601,1,1,,
s13,EVENT_STUDY,medium,human_written,1,1680,5,-0.018,negative,negative,VERIFIED,-0.017892,1,1,,
s14,EVENT_STUDY,medium,human_written,1,1680,5,0.022,positive,positive,VERIFIED,0.022646,1,1,,
s15,EVENT_STUDY,medium,human_written,1,1680,5,0.03,positive,positive,VERIFIED,0.029133,1,1,,
s16,EVENT_STUDY,hard,human_written,1,1680,5,-0.028,negative,negative,VERIFIED,-0.026697,1,1,,
s17,EVENT_STUDY,hard,human_written,1,1680,5,-0.035,negative,negative,VERIFIED,-0.035,1,1,,
s18,EVENT_STUDY,hard,human_written,1,1680,5,-0.015,negative,negative,VERIFIED,-0.014546,1,1,,
s19,IV,easy,human_written,1,500,4,0.4,positive,positive,FLAGGED,0.217518,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s20,IV,easy,human_written,1,500,4,0.4,positive,positive,FLAGGED,0.496731,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s21,IV,medium,human_written,1,500,4,-0.15,negative,negative,FLAGGED,-0.208976,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s22,IV,medium,human_written,1,500,4,0.4,positive,positive,FLAGGED,0.456663,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s23,IV,hard,human_written,1,500,4,0.4,positive,positive,FLAGGED,0.193716,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s24,IV,hard,human_written,1,500,4,-0.3,negative,negative,FLAGGED,-0.233107,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s25,RDD,easy,human_written,1,600,4,0.25,positive,positive,VERIFIED,0.254304,1,1,,
s26,RDD,easy,human_written,1,600,4,0.25,positive,positive,VERIFIED,0.244251,1,1,,
s27,RDD,medium,human_written,1,600,4,0.25,positive,positive,VERIFIED,0.261718,1,1,,
s28,RDD,medium,human_written,1,600,4,-0.25,negative,negative,VERIFIED,-0.23935,1,1,,
s29,RDD,hard,human_written,1,600,4,0.25,positive,positive,VERIFIED,0.255068,1,1,,
s30,RDD,hard,human_written,1,600,4,0.25,positive,positive,VERIFIED,0.227563,1,1,,
s31,DID,easy,llm_templated,1,1600,6,-0.3,negative,negative,FLAGGED,-0.251343,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s32,DID,easy,llm_templated,1,1600,6,0.25,positive,positive,FLAGGED,0.311092,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s33,DID,easy,llm_templated,1,1600,6,-0.2,negative,negative,FLAGGED,-0.27914,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s34,DID,easy,llm_templated,1,1600,6,0.18,positive,positive,FLAGGED,0.153932,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s35,DID,easy,llm_templated,1,1600,6,-0.35,negative,negative,FLAGGED,-0.290525,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s36,DID,easy,llm_templated,1,1600,6,0.22,positive,positive,VERIFIED,0.207083,1,1,,
s37,DID,easy,llm_templated,1,1600,6,-0.15,negative,negative,FLAGGED,-0.180967,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s38,DID,medium,llm_templated,1,1200,6,-0.2,negative,negative,FLAGGED,-0.161211,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s39,DID,medium,llm_templated,1,1200,6,0.15,positive,positive,FLAGGED,0.197254,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s40,DID,medium,llm_templated,1,1200,6,0.3,positive,positive,FLAGGED,0.412751,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s41,DID,medium,llm_templated,1,1200,6,-0.1,negative,negative,FLAGGED,-0.08474,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s42,DID,medium,llm_templated,1,1200,6,0.2,positive,positive,VERIFIED,0.182152,1,1,,
s43,DID,medium,llm_templated,1,1200,6,-0.25,negative,negative,FLAGGED,-0.188272,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s44,DID,medium,llm_templated,1,1200,6,0.12,positive,positive,FLAGGED,0.143254,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s45,DID,hard,llm_templated,1,1000,6,-0.12,negative,negative,FLAGGED,-0.278644,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s46,DID,hard,llm_templated,1,1000,6,0.08,positive,positive,FLAGGED,-0.178946,0,1,,canonical_sign_differs_from_dgp;canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s47,DID,hard,llm_templated,1,1000,6,-0.18,negative,negative,FLAGGED,-0.251963,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s48,DID,hard,llm_templated,1,1000,6,0.1,positive,positive,FLAGGED,0.311359,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s49,DID,hard,llm_templated,1,1000,6,-0.15,negative,negative,FLAGGED,-0.030578,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s50,DID,hard,llm_templated,1,1000,6,0.25,positive,positive,FLAGGED,0.406195,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
