paper_id,full_4_method,full_4_direction,loo_drop_opus_4_7_method,loo_drop_opus_4_7_direction,loo_drop_gpt4o_method,loo_drop_gpt4o_direction,loo_drop_kimi_method,loo_drop_kimi_direction,loo_drop_gemini_method,loo_drop_gemini_direction,method_flips,direction_flips
paper_01,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_02,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_03,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_04,EVENT_STUDY,,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,negative,EVENT_STUDY,negative,0,1
paper_05,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,0,0
paper_06,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_07,IV,positive,IV,,IV,,IV,positive,IV,positive,0,0
paper_08,DID,negative,DID,,DID,,DID,negative,DID,negative,0,0
paper_09,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_10,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_11,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,0,0
paper_12,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,EVENT_STUDY,negative,0,0
paper_13,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_14,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_15,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_16,,negative,DID,negative,IV,negative,IV,negative,DID,negative,1,0
paper_17,IV,,IV,unclear,IV,unclear,IV,negative,IV,negative,0,1
paper_18,IV,positive,IV,positive,IV,positive,IV,positive,IV,positive,0,0
paper_19,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
