paper_id,difficulty_tier,pdf_path
paper_05,easy,../pdfs/paper_05.pdf
paper_08,easy,../pdfs/paper_08.pdf
paper_10,easy,../pdfs/paper_10.pdf
paper_11,easy,../pdfs/paper_11.pdf
paper_12,easy,../pdfs/paper_12.pdf
paper_17,easy,../pdfs/paper_17.pdf
paper_18,easy,../pdfs/paper_18.pdf
paper_19,easy,../pdfs/paper_19.pdf
paper_28,easy,../pdfs/paper_28.pdf
paper_29,easy,../pdfs/paper_29.pdf
paper_30,easy,../pdfs/paper_30.pdf
paper_34,easy,../pdfs/paper_34.pdf
paper_36,easy,../pdfs/paper_36.pdf
paper_38,easy,../pdfs/paper_38.pdf
paper_39,easy,../pdfs/paper_39.pdf
paper_40,easy,../pdfs/paper_40.pdf
paper_42,easy,../pdfs/paper_42.pdf
paper_47,easy,../pdfs/paper_47.pdf
paper_49,easy,../pdfs/paper_49.pdf
paper_51,easy,../pdfs/paper_51.pdf
paper_53,easy,../pdfs/paper_53.pdf
paper_55,easy,../pdfs/paper_55.pdf
paper_61,easy,../pdfs/paper_61.pdf
paper_62,easy,../pdfs/paper_62.pdf
paper_63,easy,../pdfs/paper_63.pdf
paper_64,hard,../pdfs/paper_64.pdf
paper_66,hard,../pdfs/paper_66.pdf
paper_67,easy,../pdfs/paper_67.pdf
paper_68,hard,../pdfs/paper_68.pdf
paper_78,hard,../pdfs/paper_78.pdf
paper_90,hard,../pdfs/paper_90.pdf
paper_94,easy,../pdfs/paper_94.pdf
paper_98,easy,../pdfs/paper_98.pdf
paper_113,hard,../pdfs/paper_113.pdf
paper_114,hard,../pdfs/paper_114.pdf
paper_115,easy,../pdfs/paper_115.pdf
paper_116,easy,../pdfs/paper_116.pdf
paper_120,easy,../pdfs/paper_120.pdf
paper_122,hard,../pdfs/paper_122.pdf
paper_126,hard,../pdfs/paper_126.pdf
paper_127,easy,../pdfs/paper_127.pdf
paper_128,easy,../pdfs/paper_128.pdf
paper_129,easy,../pdfs/paper_129.pdf
paper_138,hard,../pdfs/paper_138.pdf
paper_142,hard,../pdfs/paper_142.pdf
paper_143,easy,../pdfs/paper_143.pdf
paper_146,easy,../pdfs/paper_146.pdf
paper_153,hard,../pdfs/paper_153.pdf
paper_154,easy,../pdfs/paper_154.pdf
paper_159,hard,../pdfs/paper_159.pdf
paper_160,hard,../pdfs/paper_160.pdf
paper_161,easy,../pdfs/paper_161.pdf
paper_162,easy,../pdfs/paper_162.pdf
paper_170,easy,../pdfs/paper_170.pdf
paper_176,easy,../pdfs/paper_176.pdf
paper_177,easy,../pdfs/paper_177.pdf
paper_182,easy,../pdfs/paper_182.pdf
paper_183,hard,../pdfs/paper_183.pdf
paper_184,easy,../pdfs/paper_184.pdf
paper_194,hard,../pdfs/paper_194.pdf
paper_198,hard,../pdfs/paper_198.pdf
paper_200,hard,../pdfs/paper_200.pdf
paper_206,hard,../pdfs/paper_206.pdf
paper_209,easy,../pdfs/paper_209.pdf
paper_214,hard,../pdfs/paper_214.pdf
paper_215,easy,../pdfs/paper_215.pdf
paper_216,hard,../pdfs/paper_216.pdf
paper_223,hard,../pdfs/paper_223.pdf
paper_231,easy,../pdfs/paper_231.pdf
paper_233,easy,../pdfs/paper_233.pdf
paper_234,easy,../pdfs/paper_234.pdf
paper_236,easy,../pdfs/paper_236.pdf
paper_242,hard,../pdfs/paper_242.pdf
paper_243,easy,../pdfs/paper_243.pdf
paper_246,easy,../pdfs/paper_246.pdf
paper_249,hard,../pdfs/paper_249.pdf
paper_253,hard,../pdfs/paper_253.pdf
paper_255,easy,../pdfs/paper_255.pdf
paper_257,hard,../pdfs/paper_257.pdf
paper_259,hard,../pdfs/paper_259.pdf
