paper_id,method_family_phase2,direction_phase2,consensus_level,difficulty_tier,source_type
paper_05,EVENT_STUDY,negative,all4_agree,easy,pdf_first_8_pages
paper_08,DID,negative,3of4_agree,easy,pdf_first_8_pages
paper_10,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_11,EVENT_STUDY,negative,3of4_agree,easy,pdf_first_8_pages
paper_12,EVENT_STUDY,negative,3of4_agree,easy,pdf_first_8_pages
paper_17,IV,none,all4_agree,easy,pdf_first_8_pages
paper_18,IV,positive,all4_agree,easy,pdf_first_8_pages
paper_19,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_28,EVENT_STUDY,positive,all4_agree,easy,pdf_first_8_pages
paper_29,EVENT_STUDY,positive,3of4_agree,easy,pdf_first_8_pages
paper_30,EVENT_STUDY,positive,all4_agree,easy,pdf_first_8_pages
paper_34,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_36,OTHER,negative,3of4_agree,easy,pdf_first_8_pages
paper_38,IV,negative,all4_agree,easy,pdf_first_8_pages
paper_39,DID,none,3of4_agree,easy,pdf_first_8_pages
paper_40,DID,negative,3of4_agree,easy,pdf_first_8_pages
paper_42,DID,positive,all4_agree,easy,pdf_first_8_pages
paper_47,IV,unclear,all4_agree,easy,pdf_first_8_pages
paper_49,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_51,IV,none,all4_agree,easy,pdf_first_8_pages
paper_53,EVENT_STUDY,positive,3of4_agree,easy,pdf_first_8_pages
paper_55,IV,none,all4_agree,easy,pdf_first_8_pages
paper_61,OTHER,negative,3of4_agree,easy,pdf_first_8_pages
paper_62,EVENT_STUDY,none,all4_agree,easy,pdf_first_8_pages
paper_63,EVENT_STUDY,none,3of4_agree,easy,pdf_first_8_pages
paper_64,EVENT_STUDY,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_66,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_67,IV,none,all4_agree,easy,pdf_first_8_pages
paper_68,IV,none,2of4_plurality,hard,pdf_first_8_pages
paper_78,EVENT_STUDY,positive,2of4_plurality,hard,pdf_first_8_pages
paper_90,OTHER,negative,2of4_plurality,hard,pdf_first_8_pages
paper_94,DID,positive,3of4_agree,easy,pdf_first_8_pages
paper_98,DID,none,all4_agree,easy,pdf_first_8_pages
paper_113,RDD,none,2of4_plurality,hard,pdf_first_8_pages
paper_114,IV,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_115,IV,none,3of4_agree,easy,pdf_first_8_pages
paper_116,RDD,unclear,all4_agree,easy,pdf_first_8_pages
paper_120,DID,none,all4_agree,easy,pdf_first_8_pages
paper_122,DID,negative,2of4_plurality,hard,pdf_first_8_pages
paper_126,RDD,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_127,DID,negative,3of4_agree,easy,pdf_first_8_pages
paper_128,DID,positive,all4_agree,easy,pdf_first_8_pages
paper_129,DID,negative,all4_agree,easy,pdf_first_8_pages
paper_138,DID,none,2of4_plurality,hard,pdf_first_8_pages
paper_142,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_143,IV,unclear,3of4_agree,easy,pdf_first_8_pages
paper_146,DID,none,3of4_agree,easy,pdf_first_8_pages
paper_153,RDD,negative,2of4_plurality,hard,pdf_first_8_pages
paper_154,RDD,none,3of4_agree,easy,pdf_first_8_pages
paper_159,DID,none,2of4_plurality,hard,pdf_first_8_pages
paper_160,IV,positive,2of4_plurality,hard,pdf_first_8_pages
paper_161,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_162,RDD,none,3of4_agree,easy,pdf_first_8_pages
paper_170,DID,none,3of4_agree,easy,pdf_first_8_pages
paper_176,OTHER,none,3of4_agree,easy,pdf_first_8_pages
paper_177,EVENT_STUDY,unclear,all4_agree,easy,pdf_first_8_pages
paper_182,IV,none,3of4_agree,easy,pdf_first_8_pages
paper_183,OTHER,positive,2of4_plurality,hard,pdf_first_8_pages
paper_184,RDD,none,all4_agree,easy,pdf_first_8_pages
paper_194,IV,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_198,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_200,DID,negative,2of4_plurality,hard,pdf_first_8_pages
paper_206,OTHER,none,2of4_plurality,hard,pdf_first_8_pages
paper_209,RDD,none,3of4_agree,easy,pdf_first_8_pages
paper_214,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_215,IV,positive,all4_agree,easy,pdf_first_8_pages
paper_216,DID,none,2of4_plurality,hard,pdf_first_8_pages
paper_223,IV,positive,2of4_plurality,hard,pdf_first_8_pages
paper_231,DID,negative,3of4_agree,easy,pdf_first_8_pages
paper_233,OTHER,none,3of4_agree,easy,pdf_first_8_pages
paper_234,EVENT_STUDY,none,3of4_agree,easy,pdf_first_8_pages
paper_236,DID,none,3of4_agree,easy,pdf_first_8_pages
paper_242,DID,none,2of4_plurality,hard,pdf_first_8_pages
paper_243,DID,positive,3of4_agree,easy,pdf_first_8_pages
paper_246,OTHER,none,3of4_agree,easy,pdf_first_8_pages
paper_249,IV,positive,2of4_plurality,hard,pdf_first_8_pages
paper_253,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_255,RDD,unclear,3of4_agree,easy,pdf_first_8_pages
paper_257,DID,unclear,2of4_plurality,hard,pdf_first_8_pages
paper_259,IV,unclear,2of4_plurality,hard,pdf_first_8_pages
