target_order,paper_id,difficulty_tier,pdf_path,status
1,paper_05,easy,../pdfs/paper_05.pdf,labeled
2,paper_08,easy,../pdfs/paper_08.pdf,labeled
3,paper_10,easy,../pdfs/paper_10.pdf,labeled
4,paper_64,hard,../pdfs/paper_64.pdf,labeled
5,paper_66,hard,../pdfs/paper_66.pdf,labeled
6,paper_68,hard,../pdfs/paper_68.pdf,labeled
7,paper_78,hard,../pdfs/paper_78.pdf,labeled
8,paper_90,hard,../pdfs/paper_90.pdf,labeled
9,paper_113,hard,../pdfs/paper_113.pdf,labeled
10,paper_114,hard,../pdfs/paper_114.pdf,labeled
11,paper_122,hard,../pdfs/paper_122.pdf,labeled
12,paper_126,hard,../pdfs/paper_126.pdf,labeled
13,paper_138,hard,../pdfs/paper_138.pdf,labeled
14,paper_142,hard,../pdfs/paper_142.pdf,labeled
15,paper_153,hard,../pdfs/paper_153.pdf,labeled
16,paper_159,hard,../pdfs/paper_159.pdf,excluded_pdf_appendix_only_unblinded
17,paper_160,hard,../pdfs/paper_160.pdf,labeled
18,paper_183,hard,../pdfs/paper_183.pdf,labeled
19,paper_194,hard,../pdfs/paper_194.pdf,labeled
20,paper_206,hard,../pdfs/paper_206.pdf,labeled
21,paper_223,hard,../pdfs/paper_223.pdf,labeled
22,paper_249,hard,../pdfs/paper_249.pdf,labeled
23,paper_11,easy,../pdfs/paper_11.pdf,labeled
24,paper_12,easy,../pdfs/paper_12.pdf,labeled
25,paper_19,easy,../pdfs/paper_19.pdf,labeled
26,paper_28,easy,../pdfs/paper_28.pdf,labeled
27,paper_34,easy,../pdfs/paper_34.pdf,labeled
28,paper_36,easy,../pdfs/paper_36.pdf,labeled
29,paper_61,easy,../pdfs/paper_61.pdf,labeled
30,paper_176,easy,../pdfs/paper_176.pdf,labeled
31,paper_17,easy,../pdfs/paper_17.pdf,labeled
