model,threshold,pass_rate,n_scenarios
GPT-4o,0.1,0.04,100
GPT-4o,0.2,0.12,100
GPT-4o,0.3,0.18,100
GPT-4o,0.5,0.25,100
GPT-4o,1.0,0.32,100
Gemini,0.1,0.02,100
Gemini,0.2,0.06,100
Gemini,0.3,0.1,100
Gemini,0.5,0.13,100
Gemini,1.0,0.14,100
Kimi,0.1,0.0,100
Kimi,0.2,0.0,100
Kimi,0.3,0.01,100
Kimi,0.5,0.05,100
Kimi,1.0,0.06,100
Opus,0.1,0.08,100
Opus,0.2,0.27,100
Opus,0.3,0.42,100
Opus,0.5,0.55,100
Opus,1.0,0.63,100
Sonnet,0.1,0.03,100
Sonnet,0.2,0.13,100
Sonnet,0.3,0.18,100
Sonnet,0.5,0.22,100
Sonnet,1.0,0.3,100
o3,0.1,0.04,100
o3,0.2,0.08,100
o3,0.3,0.12,100
o3,0.5,0.14,100
o3,1.0,0.2,100
