paper_id,title,year,journal,doi,doi_url
paper_01,Bank lending during the financial crisis of 2008,2009,Journal of Financial Economics,10.1016/j.jfineco.2009.12.001,https://doi.org/10.1016/j.jfineco.2009.12.001
paper_02,"Safer Ratios, Riskier Portfolios: Banks’ Response to Government Aid",2012,SSRN Electronic Journal,10.2139/ssrn.1925710,https://doi.org/10.2139/ssrn.1925710
paper_03,Does banking competition affect innovation?,2014,Journal of Financial Economics,10.1016/j.jfineco.2014.09.001,https://doi.org/10.1016/j.jfineco.2014.09.001
paper_04,What Explains the Stock Market's Reaction to Federal Reserve Policy?,2005,The Journal of Finance,10.1111/j.1540-6261.2005.00760.x,https://doi.org/10.1111/j.1540-6261.2005.00760.x
paper_06,The Importance of Industry Links in Merger Waves,2013,The Journal of Finance,10.1111/jofi.12122,https://doi.org/10.1111/jofi.12122
paper_09,The Vote Is Cast: The Effect of Corporate Governance on Shareholder Value,2012,The Journal of Finance,10.1111/j.1540-6261.2012.01776.x,https://doi.org/10.1111/j.1540-6261.2012.01776.x
paper_10,Does Stock Liquidity Enhance or Impede Firm Innovation?,2014,The Journal of Finance,10.1111/jofi.12187,https://doi.org/10.1111/jofi.12187
paper_11,Corporate Governance and Acquirer Returns,2007,The Journal of Finance,10.1111/j.1540-6261.2007.01259.x,https://doi.org/10.1111/j.1540-6261.2007.01259.x
paper_12,Firm size and the gains from acquisitions,2004,Journal of Financial Economics,10.1016/j.jfineco.2003.07.002,https://doi.org/10.1016/j.jfineco.2003.07.002
paper_13,What drives merger waves?,2005,Journal of Financial Economics,10.1016/j.jfineco.2004.05.004,https://doi.org/10.1016/j.jfineco.2004.05.004
paper_17,Economic Shocks and Civil Conflict: An Instrumental Variables Approach,2004,Journal of Political Economy,10.1086/421174,https://doi.org/10.1086/421174
paper_18,The Colonial Origins of Comparative Development: An Empirical Investigation,2001,American Economic Review,10.1257/aer.91.5.1369,https://doi.org/10.1257/aer.91.5.1369
paper_22,Schooling and Labor Market Consequences of School Construction in Indonesia: Evidence from an Unusual Policy Experiment,2001,American Economic Review,10.1257/aer.91.4.795,https://doi.org/10.1257/aer.91.4.795
paper_24,Does Credit Competition Affect Small‐Firm Finance?,2010,The Journal of Finance,10.1111/j.1540-6261.2010.01555.x,https://doi.org/10.1111/j.1540-6261.2010.01555.x
paper_25,The real effects of financial constraints: Evidence from a financial crisis,2010,Journal of Financial Economics,10.1016/j.jfineco.2010.02.009,https://doi.org/10.1016/j.jfineco.2010.02.009
paper_26,The Response of Corporate Financing and Investment to Changes in the Supply of Credit,2010,Journal of Financial and Quantitative Analysis,10.1017/s0022109010000256,https://doi.org/10.1017/s0022109010000256
paper_28,Contagious Speculation and a Cure for Cancer: A Nonevent that Made Stock Prices Soar,2001,The Journal of Finance,10.1111/0022-1082.00330,https://doi.org/10.1111/0022-1082.00330
