domain,method,difficulty,direction,authors,year,journal,title
agriculture,DID,medium,negative,Deschenes & Greenstone,2007,AER,The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather
agriculture,DID,easy,negative,Hornbeck,2012,QJE,The Enduring Impact of the American Dust Bowl: Short and Long-run Adjustments to Environmental Catastrophe
agriculture,ES,hard,positive,Roberts & Schlenker,2013,QJE,Identifying Supply and Demand Elasticities of Agricultural Commodities: Implications for the US Ethanol Mandate
agriculture,ES,medium,negative,"Dell, Jones & Olken",2014,AER,What Do We Learn from the Weather? The New Climate-Economy Literature
agriculture,ES,medium,negative,Jayachandran,2006,JDE,Selling Labor Low: Wage Responses to Productivity Shocks in Developing Countries
agriculture,IV,medium,positive,Foster & Rosenzweig,2003,AER,Economic Growth and the Rise of Forests
agriculture,IV,easy,positive,Olmstead & Rhode,2008,JEP,Creating Abundance: Biological Innovation and American Agricultural Development
agriculture,IV,medium,negative,Jayachandran,2009,AER,Air Quality and Early-Life Mortality: Evidence from Indonesia's Wildfires
agriculture,IV,hard,negative,Hornbeck,2012,AEJ:Applied,The Enduring Impact of the American Dust Bowl: Short- and Long-Run Adjustments to Environmental Catastrophe
agriculture,RDD,medium,negative,Mullainathan & Shafir,2013,JHR,Scarcity: Why Having Too Little Means So Much
development,DID,medium,positive,"Banerjee, Duflo, Glennerster & Kinnan",2015,AER,The Miracle of Microfinance? Evidence from a Randomized Evaluation
development,ES,medium,negative,Banerjee & Iyer,2005,AER,"History, Institutions, and Economic Performance: The Legacy of Colonial Land Tenure Systems in India"
development,ES,medium,positive,Feyrer & Sacerdote,2009,QJE,Colonialism and Modern Income: Islands as Natural Experiments
development,IV,medium,negative,Banerjee & Duflo,2003,JDE,Inequality and Growth: What Can the Data Say?
development,IV,easy,positive,Angrist & Krueger,1991,QJE,Does Compulsory School Attendance Affect Schooling and Earnings?
development,RDD,medium,negative,Olken,2007,JPE,Monitoring Corruption: Evidence from a Field Experiment in Indonesia
development,RDD,medium,positive,Casaburi & Macchiavello,2019,QJE,Demand and Supply of Infrequent Payments as a Commitment Device: Evidence from Kenya
education,DID,medium,positive,Lovenheim,2011,JHR,The Effect of Liquid Housing Wealth on College Enrollment
education,DID,hard,positive,Jackson,2018,QJE,Does School Spending Matter? The New Literature on an Old Question
education,ES,medium,positive,Card & Krueger,1992,QJE,School Quality and Black-White Relative Earnings: A Direct Assessment
education,ES,hard,positive,Hoxby,2000,QJE,The Effects of Class Size on Student Achievement: New Evidence from Population Variation
education,ES,hard,positive,"Chetty, Friedman & Rockoff",2014,AER,Measuring the Impacts of Teachers I: Evaluating Bias in Teacher Value-Added Estimates
education,IV,hard,positive,"Black, Devereux & Salvanes",2005,QJE,Why the Apple Doesn't Fall Far: Understanding Intergenerational Transmission of Human Capital
education,RDD,medium,positive,"Cortes, Goodman & Nomi",2015,AEJ:EP,Intensive Math Instruction and Educational Attainment: Long-Run Impacts of Double-Dose Algebra
education,RDD,hard,positive,Jackson,2010,JHR,A Little Now for a Lot Later: A Look at a Texas Advanced Placement Incentive Program
education,RDD,hard,positive,Deming & Dynarski,2009,JHR,"Into College, Out of Poverty? Policies to Increase the Postsecondary Attainment of the Poor"
environment,DID,easy,negative,Greenstone,2002,JPE,The Impacts of Environmental Regulations on Industrial Activity: Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures
environment,DID,medium,positive,"Busse, Knittel & Zettelmeyer",2013,QJE,Are Consumers Myopic? Evidence from New and Used Car Purchases
environment,DID,medium,negative,Davis,2008,AER,The Effect of Driving Restrictions on Air Quality in Mexico City
environment,DID,hard,positive,"Fowlie, Holland & Mansur",2012,AER,What Do Emissions Markets Deliver and to Whom? Evidence from Southern California's NOx Trading Program
environment,ES,hard,negative,"Deryugina, Kawano & Levitt",2018,JPublE,The Economic Impact of Hurricane Katrina on its Victims: Evidence from Individual Tax Returns
environment,IV,easy,positive,Chay & Greenstone,2005,QJE,Does Air Quality Matter? Evidence from the Housing Market
environment,IV,hard,positive,Greenstone & Hanna,2014,AER,"Environmental Regulations, Air and Water Pollution, and Infant Mortality in India"
environment,IV,medium,negative,Graff Zivin & Neidell,2012,AER,The Impact of Pollution on Worker Productivity
environment,IV,hard,negative,Hsiang & Jina,2014,QJE,"The Causal Effect of Environmental Catastrophe on Long-Run Economic Growth: Evidence from 6,700 Cyclones"
environment,RDD,easy,positive,Lee & Lemieux,2010,JEP,Regression Discontinuity Designs in Economics
finance,DID,easy,negative,Bertrand & Mullainathan,2003,QJE,Enjoying the Quiet Life? Corporate Governance and Managerial Preferences
finance,DID,medium,positive,Garmaise & Moskowitz,2006,RFS,Bank Mergers and Crime: The Real and Social Effects of Credit Market Competition
