paper_id,method,difficulty,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,o3_L3a,o3_L3b,o3_detected,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected
paper_01,DID,easy,1,0,DID,1,1,DID,1,0,DID,0,1,EVENT_STUDY,1,0,DID,1,1,DID
paper_02,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_03,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_04,EVENT_STUDY,easy,1,1,EVENT_STUDY,1,0,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,0,EVENT_STUDY,1,0,EVENT_STUDY
paper_05,EVENT_STUDY,medium,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_06,EVENT_STUDY,hard,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,IV,0,0,DID
paper_07,IV,medium,1,0,IV,1,0,IV,1,0,IV,0,0,DID,1,0,IV,1,1,IV
paper_08,IV,hard,0,0,DID,0,1,DID,1,0,IV,0,1,DID,1,0,IV,0,0,DID
paper_09,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_10,RDD,medium,1,0,RDD,1,0,RDD,1,0,RDD,1,1,RDD,0,0,IV,1,1,RDD
paper_11,EVENT_STUDY,hard,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_12,EVENT_STUDY,hard,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,0,0,IV,1,0,EVENT_STUDY,1,1,EVENT_STUDY
paper_13,EVENT_STUDY,hard,0,1,DID,0,1,DID,0,1,DID,0,0,DID,0,1,DID,1,1,EVENT_STUDY
