scenario_id,method,difficulty,Kimi-128k_L1_complete,Kimi-128k_L2_has_code,Kimi-128k_L3_strategy,Kimi-128k_L4_direction,Kimi-128k_all_pass,Kimi-128k_r_lines,Claude-Sonnet_L1_complete,Claude-Sonnet_L2_has_code,Claude-Sonnet_L3_strategy,Claude-Sonnet_L4_direction,Claude-Sonnet_all_pass,Claude-Sonnet_r_lines,GPT-4o_L1_complete,GPT-4o_L2_has_code,GPT-4o_L3_strategy,GPT-4o_L4_direction,GPT-4o_all_pass,GPT-4o_r_lines,o3_L1_complete,o3_L2_has_code,o3_L3_strategy,o3_L4_direction,o3_all_pass,o3_r_lines,claude-opus-4-6_L1_complete,claude-opus-4-6_L2_has_code,claude-opus-4-6_L3_strategy,claude-opus-4-6_L4_direction,claude-opus-4-6_all_pass,claude-opus-4-6_r_lines,gemini-2.5-flash_L1_complete,gemini-2.5-flash_L2_has_code,gemini-2.5-flash_L3_strategy,gemini-2.5-flash_L4_direction,gemini-2.5-flash_all_pass,gemini-2.5-flash_r_lines
s01,DID,easy,1,1,1,1,1,19,1,1,1,1,1,78,1,1,1,1,1,42,1,1,1,1,1,48,1,1,1,1,1,188,1,1,1,0,0,95
s02,DID,easy,1,1,1,1,1,19,1,1,1,1,1,66,1,1,1,1,1,33,1,1,1,1,1,66,1,1,1,1,1,140,1,1,1,0,0,91
s03,DID,easy,1,1,1,1,1,29,1,1,1,1,1,87,1,1,1,1,1,37,1,1,1,1,1,62,1,1,1,1,1,123,1,1,1,1,1,50
s04,DID,medium,1,1,1,1,1,19,1,1,1,0,0,88,1,1,1,1,1,37,1,1,1,1,1,62,1,1,1,1,1,164,1,1,1,1,1,96
s05,DID,medium,1,1,1,1,1,30,1,1,1,1,1,69,1,1,1,1,1,26,1,1,1,0,0,48,1,1,1,1,1,140,1,1,1,1,1,63
s06,DID,medium,1,1,1,1,1,25,1,1,1,1,1,58,1,1,1,1,1,36,1,1,1,1,1,52,1,1,1,1,1,123,1,1,1,1,1,90
s07,DID,medium,1,1,1,1,1,16,1,1,1,1,1,72,1,1,1,1,1,23,1,1,1,1,1,67,1,1,1,1,1,140,1,1,1,1,1,75
s08,DID,hard,1,1,1,1,1,19,1,1,1,1,1,91,1,1,1,1,1,24,1,1,1,1,1,49,1,1,1,1,1,183,1,0,1,0,0,0
s09,DID,hard,1,1,1,1,1,24,1,1,1,1,1,72,1,1,1,1,1,30,1,1,1,1,1,68,1,1,1,1,1,171,1,0,1,0,0,0
s10,DID,hard,1,1,1,1,1,24,1,1,1,0,0,68,1,1,1,1,1,35,1,1,1,1,1,62,1,1,1,1,1,175,1,0,1,0,0,0
s11,EVENT_STUDY,easy,1,1,1,0,0,51,1,1,1,0,0,115,1,1,1,0,0,36,1,1,1,0,0,44,1,1,1,0,0,216,1,1,1,0,0,74
s12,EVENT_STUDY,easy,1,1,1,1,1,35,1,1,1,1,1,79,1,1,1,1,1,41,1,1,1,1,1,74,1,1,1,1,1,157,1,0,1,0,0,0
s13,EVENT_STUDY,medium,1,1,1,1,1,34,1,1,1,1,1,91,1,1,1,1,1,37,1,1,1,1,1,92,1,1,1,1,1,150,1,0,1,0,0,0
s14,EVENT_STUDY,medium,1,1,1,1,1,30,1,1,1,1,1,104,1,1,1,1,1,48,1,1,1,1,1,80,1,1,1,1,1,190,1,0,1,0,0,0
s15,EVENT_STUDY,medium,1,1,1,1,1,30,1,1,1,1,1,107,1,1,1,0,0,44,1,1,1,1,1,77,1,1,1,1,1,202,1,0,1,0,0,0
s16,EVENT_STUDY,hard,1,1,1,1,1,32,1,1,1,1,1,94,1,1,1,1,1,45,1,1,1,1,1,106,1,1,1,1,1,209,1,0,1,0,0,0
s17,EVENT_STUDY,hard,1,1,1,1,1,43,1,1,1,1,1,94,1,1,1,1,1,48,1,1,1,1,1,81,1,1,1,1,1,214,1,0,1,0,0,0
s18,EVENT_STUDY,hard,1,1,1,0,0,25,1,1,1,0,0,138,1,1,1,0,0,23,1,1,1,0,0,74,1,1,1,0,0,201,1,0,1,0,0,0
s19,IV,easy,1,1,1,1,1,23,1,1,1,0,0,62,1,1,1,1,1,25,1,1,1,1,1,55,1,1,1,1,1,182,1,1,1,1,1,54
s20,IV,easy,1,1,1,1,1,25,1,1,1,0,0,69,1,1,1,1,1,22,1,1,1,0,0,60,1,1,1,1,1,181,1,1,1,1,1,97
s21,IV,medium,1,1,1,1,1,22,1,1,1,1,1,82,1,1,1,1,1,21,1,1,1,1,1,61,1,1,1,1,1,158,1,1,1,1,1,62
s22,IV,medium,1,1,1,1,1,23,1,1,1,1,1,66,1,1,1,1,1,35,1,1,1,1,1,60,1,1,1,1,1,192,1,1,1,1,1,65
s23,IV,hard,1,1,1,0,0,23,1,1,1,0,0,78,1,1,1,1,1,28,1,1,1,0,0,48,1,1,1,0,0,145,1,0,1,0,0,0
s24,IV,hard,1,1,1,1,1,28,1,1,1,1,1,80,1,1,1,1,1,19,1,1,1,0,0,46,1,1,1,1,1,182,1,1,1,0,0,77
s25,RDD,easy,1,1,1,1,1,20,1,1,1,1,1,71,1,1,1,1,1,31,1,1,1,1,1,50,1,1,1,1,1,184,1,1,1,1,1,126
s26,RDD,easy,1,1,1,1,1,28,1,1,1,1,1,65,1,1,1,1,1,20,1,1,1,1,1,70,1,1,1,0,0,165,1,1,1,1,1,110
s27,RDD,medium,1,1,1,1,1,27,1,1,1,1,1,74,1,1,1,1,1,28,1,1,1,1,1,64,1,1,1,1,1,185,1,1,1,1,1,85
s28,RDD,medium,1,1,1,1,1,33,1,1,1,1,1,77,1,1,1,1,1,21,1,1,1,1,1,65,1,1,1,1,1,185,1,0,1,0,0,0
s29,RDD,hard,1,1,1,1,1,41,1,1,1,1,1,82,1,1,1,1,1,45,1,1,1,1,1,76,1,0,1,0,0,0,1,0,1,0,0,0
s30,RDD,hard,1,1,1,1,1,30,1,1,1,1,1,64,1,1,1,1,1,33,1,1,0,1,0,78,1,1,1,1,1,160,1,1,1,1,1,82
