scenario_id,method_family,true_effect,estimated,rel_error,L2b,L2b_plus,method_confidence,specification_confidence,numerical_confidence
s86,RDD,-0.2,0.201513,2.0076,1,0,0.97,0.82,0.55
s16,EVENT_STUDY,-0.028,-0.161988,4.7853,1,0,0.95,0.55,0.25
s09,DID,0.28,-0.1624483,1.5802,1,0,0.95,0.82,0.62
s42,DID,0.2,,,0,0,0.97,0.9,0.55
s33,DID,-0.2,0.129335,1.6467,1,0,0.97,0.9,0.72
s30,RDD,0.25,,,0,0,0.97,0.82,0.45
s17,EVENT_STUDY,-0.035,-0.071573,1.0449,1,0,0.97,0.72,0.45
s15,EVENT_STUDY,0.03,-0.0056,1.1867,1,0,0.97,0.8,0.45
s64,EVENT_STUDY,-0.022,1.0,46.4545,1,0,0.95,0.72,0.4
s14,EVENT_STUDY,0.022,0.3943,16.9227,1,0,0.97,0.8,0.55
s73,IV,0.35,0.2203,0.3706,1,1,0.97,0.82,0.52
s53,EVENT_STUDY,-0.03,-0.027325,0.0892,1,1,0.97,0.82,0.45
s03,DID,0.25,0.2845713,0.1383,1,1,0.97,0.9,0.72
s02,DID,-0.15,-0.1876,0.2507,1,1,0.97,0.9,0.72
s06,DID,0.22,0.2494,0.1336,1,1,0.97,0.9,0.65
