scenario_id,method_family,model_slug,model_short,true_effect,estimated,rel_error,L2b,L2b_plus,method_confidence,specification_confidence,numerical_confidence
s01,DID,claude-opus-4-6,Opus,-0.238664,-0.2387,0.0002,1,1,0.97,0.9,0.72
s02,DID,claude-opus-4-6,Opus,-0.187556,-0.1876,0.0002,1,1,0.97,0.9,0.72
s03,DID,claude-opus-4-6,Opus,0.284571,0.2845713,0.0,1,1,0.97,0.9,0.72
s04,DID,claude-opus-4-6,Opus,0.105831,0.1058,0.0003,1,1,0.95,0.82,0.55
s05,DID,claude-opus-4-6,Opus,0.263036,0.263,0.0001,1,1,0.95,0.9,0.72
s06,DID,claude-opus-4-6,Opus,0.249357,0.2494,0.0002,1,1,0.97,0.9,0.62
s07,DID,claude-opus-4-6,Opus,-0.159497,-0.0982,0.3843,1,1,0.95,0.85,0.7
s08,DID,claude-opus-4-6,Opus,-0.304917,0.0792,1.2597,1,0,0.97,0.9,0.75
s09,DID,claude-opus-4-6,Opus,0.2975,-0.1624483,1.546,1,0,0.95,0.82,0.62
s10,DID,claude-opus-4-6,Opus,0.369059,0.3908,0.0589,1,1,0.95,0.82,0.45
s11,EVENT_STUDY,claude-opus-4-6,Opus,-0.020114,-0.035803,0.78,1,0,0.97,0.72,0.42
s12,EVENT_STUDY,claude-opus-4-6,Opus,-0.02601,-0.1947,6.4856,1,0,0.97,0.72,0.55
s13,EVENT_STUDY,claude-opus-4-6,Opus,-0.017892,-1.0,54.8909,1,0,0.97,0.72,0.52
s14,EVENT_STUDY,claude-opus-4-6,Opus,0.022646,0.3943,16.4115,1,0,0.97,0.8,0.55
s15,EVENT_STUDY,claude-opus-4-6,Opus,0.029133,-0.0056,1.1922,1,0,0.97,0.82,0.45
s16,EVENT_STUDY,claude-opus-4-6,Opus,-0.026697,-0.161988,5.0676,1,0,0.95,0.55,0.25
s17,EVENT_STUDY,claude-opus-4-6,Opus,-0.035,-0.071573,1.0449,1,0,0.97,0.72,0.45
s18,EVENT_STUDY,claude-opus-4-6,Opus,-0.014546,,,0,0,0.82,0.62,0.35
s19,IV,claude-opus-4-6,Opus,0.217518,0.2175,0.0001,1,1,0.97,0.75,0.45
s20,IV,claude-opus-4-6,Opus,0.496731,0.4967308,0.0,1,1,0.97,0.72,0.52
s21,IV,claude-opus-4-6,Opus,-0.208976,-0.209,0.0001,1,1,0.97,0.72,0.45
s22,IV,claude-opus-4-6,Opus,0.456663,0.8415,0.8427,1,0,0.97,0.75,0.45
s23,IV,claude-opus-4-6,Opus,0.193716,0.1937,0.0001,1,1,0.97,0.72,0.35
s24,IV,claude-opus-4-6,Opus,-0.233107,0.3837,2.646,1,0,0.95,0.72,0.4
s25,RDD,claude-opus-4-6,Opus,0.254304,0.2973,0.1691,1,1,0.97,0.85,0.55
s26,RDD,claude-opus-4-6,Opus,0.244251,0.1976572,0.1908,1,1,0.97,0.82,0.45
s27,RDD,claude-opus-4-6,Opus,0.261718,0.1847,0.2943,1,1,0.95,0.75,0.4
s28,RDD,claude-opus-4-6,Opus,-0.23935,-0.2535,0.0591,1,1,0.97,0.82,0.52
s29,RDD,claude-opus-4-6,Opus,0.255068,,,0,0,0.97,0.72,0.35
s30,RDD,claude-opus-4-6,Opus,0.227563,,,0,0,0.97,0.82,0.45
s31,DID,claude-opus-4-6,Opus,-0.251343,-0.2513,0.0002,1,1,0.97,0.9,0.75
s32,DID,claude-opus-4-6,Opus,0.311092,0.3111,0.0,1,1,0.97,0.82,0.62
s33,DID,claude-opus-4-6,Opus,-0.27914,0.129335,1.4633,1,0,0.97,0.9,0.72
s34,DID,claude-opus-4-6,Opus,0.153932,0.1539,0.0002,1,1,0.97,0.82,0.75
s35,DID,claude-opus-4-6,Opus,-0.290525,-0.2905,0.0001,1,1,0.97,0.9,0.72
s36,DID,claude-opus-4-6,Opus,0.207083,0.550747,1.6595,1,0,0.97,0.85,0.62
s37,DID,claude-opus-4-6,Opus,-0.180967,-0.181,0.0002,1,1,0.97,0.9,0.82
s38,DID,claude-opus-4-6,Opus,-0.161211,-0.1612,0.0001,1,1,0.97,0.85,0.82
s39,DID,claude-opus-4-6,Opus,0.197254,0.1973,0.0002,1,1,0.97,0.85,0.62
s40,DID,claude-opus-4-6,Opus,0.412751,0.4128,0.0001,1,1,0.97,0.85,0.62
s41,DID,claude-opus-4-6,Opus,-0.08474,-0.0847,0.0005,1,1,0.97,0.9,0.55
s42,DID,claude-opus-4-6,Opus,0.182152,,,0,0,0.97,0.9,0.55
s43,DID,claude-opus-4-6,Opus,-0.188272,-0.1883,0.0001,1,1,0.97,0.82,0.55
s44,DID,claude-opus-4-6,Opus,0.143254,0.1433,0.0003,1,1,0.97,0.85,0.72
s45,DID,claude-opus-4-6,Opus,-0.278644,-0.2786,0.0002,1,1,0.97,0.82,0.62
s46,DID,claude-opus-4-6,Opus,-0.178946,-0.1789,0.0003,1,1,0.95,0.85,0.45
s47,DID,claude-opus-4-6,Opus,-0.251963,-0.252,0.0001,1,1,0.97,0.85,0.82
s48,DID,claude-opus-4-6,Opus,0.311359,0.3113586,0.0,1,1,0.97,0.82,0.52
s49,DID,claude-opus-4-6,Opus,-0.030578,-0.0306,0.0007,1,1,0.97,0.82,0.62
s50,DID,claude-opus-4-6,Opus,0.406195,0.4062,0.0,1,1,0.97,0.85,0.55
s51,EVENT_STUDY,claude-opus-4-6,Opus,-0.019207,-0.0324,0.6869,1,0,0.97,0.75,0.52
s52,EVENT_STUDY,claude-opus-4-6,Opus,0.025432,0.0507,0.9936,1,0,0.97,0.82,0.55
s53,EVENT_STUDY,claude-opus-4-6,Opus,-0.02978,-0.027325,0.0824,1,1,0.97,0.82,0.45
s54,EVENT_STUDY,claude-opus-4-6,Opus,0.01811,0.0367,1.0265,1,0,0.97,0.8,0.35
s55,EVENT_STUDY,claude-opus-4-6,Opus,-0.027954,-1.0,34.7731,1,0,0.97,0.82,0.55
s56,EVENT_STUDY,claude-opus-4-6,Opus,0.022125,-1.0,46.1977,1,0,0.97,0.8,0.45
s57,EVENT_STUDY,claude-opus-4-6,Opus,-0.015384,-0.0334,1.1711,1,0,0.97,0.82,0.55
s58,EVENT_STUDY,claude-opus-4-6,Opus,-0.024748,-0.025362,0.0248,1,1,0.95,0.72,0.45
s59,EVENT_STUDY,claude-opus-4-6,Opus,0.029434,-0.0006,1.0204,1,0,0.97,0.82,0.52
s60,EVENT_STUDY,claude-opus-4-6,Opus,-0.021024,-0.04176,0.9863,1,0,0.97,0.82,0.55
s61,EVENT_STUDY,claude-opus-4-6,Opus,0.018012,0.0364,1.0209,1,0,0.97,0.72,0.45
s62,EVENT_STUDY,claude-opus-4-6,Opus,-0.017795,-0.0476,1.6749,1,0,0.95,0.75,0.45
s63,EVENT_STUDY,claude-opus-4-6,Opus,0.015153,0.0299,0.9732,1,0,0.97,0.72,0.45
s64,EVENT_STUDY,claude-opus-4-6,Opus,-0.023212,1.0,44.0812,1,0,0.95,0.72,0.4
s65,EVENT_STUDY,claude-opus-4-6,Opus,0.028048,0.02075,0.2602,1,1,0.97,0.75,0.4
s66,EVENT_STUDY,claude-opus-4-6,Opus,-0.01299,-0.0074,0.4303,1,1,0.97,0.72,0.42
s67,IV,claude-opus-4-6,Opus,0.487238,0.4872,0.0001,1,1,0.95,0.8,0.45
s68,IV,claude-opus-4-6,Opus,-0.434746,-0.4347,0.0001,1,1,0.97,0.82,0.52
s69,IV,claude-opus-4-6,Opus,0.405397,0.3954,0.0247,1,1,0.97,0.82,0.45
s70,IV,claude-opus-4-6,Opus,-0.292427,-0.2924,0.0001,1,1,0.97,0.75,0.52
s71,IV,claude-opus-4-6,Opus,0.511746,0.5117455,0.0,1,1,0.95,0.72,0.45
s72,IV,claude-opus-4-6,Opus,-0.469252,-0.4693,0.0001,1,1,0.97,0.82,0.4
s73,IV,claude-opus-4-6,Opus,0.412201,0.2203,0.4656,1,1,0.97,0.82,0.52
s74,IV,claude-opus-4-6,Opus,-0.153897,-0.1539,0.0,1,1,0.95,0.8,0.55
s75,IV,claude-opus-4-6,Opus,0.449853,,,0,0,0.97,0.82,0.52
s76,IV,claude-opus-4-6,Opus,-0.193643,-0.1936427,0.0,1,1,0.95,0.65,0.4
s77,IV,claude-opus-4-6,Opus,0.637287,0.6373,0.0,1,1,0.97,0.82,0.45
s78,IV,claude-opus-4-6,Opus,-0.314225,-0.3142,0.0001,1,1,0.97,0.8,0.55
s79,IV,claude-opus-4-6,Opus,0.229228,0.2292,0.0001,1,1,0.97,0.82,0.52
s80,IV,claude-opus-4-6,Opus,-0.302934,-0.3029,0.0001,1,1,0.97,0.82,0.55
s81,IV,claude-opus-4-6,Opus,0.387703,0.3877025,0.0,1,1,0.95,0.72,0.45
s82,IV,claude-opus-4-6,Opus,0.003635,0.0036,0.0096,1,1,0.97,0.72,0.4
s83,IV,claude-opus-4-6,Opus,0.212884,0.8926,3.1929,1,0,0.97,0.82,0.55
s84,IV,claude-opus-4-6,Opus,-0.189002,0.39413,3.0853,1,0,0.97,0.82,0.55
