y,x,z,controls
-0.1727,-0.507,0,-0.6548
0.0503,0.173,1,-0.4621
-1.0474,-0.0479,0,0.4235
-0.09,-0.3627,0,1.8022
2.6289,2.0303,1,0.7873
0.8322,1.416,1,-0.1021
0.7116,1.031,1,-0.8507
0.4717,0.4683,0,1.421
1.5386,0.9919,0,-0.2968
-0.2229,0.4704,1,-1.4205
0.8424,0.7237,1,0.3577
-2.1193,-0.9406,0,-1.2357
-0.1759,-0.5188,0,0.6597
0.3996,0.3277,1,-0.394
-0.1562,0.146,1,-0.3057
0.6453,1.1416,1,-2.7456
0.219,0.0026,0,1.0775
-0.3889,-0.2729,0,-1.1791
-0.5359,-0.5185,0,-0.7223
-0.3128,0.3907,0,0.1909
-2.0982,-1.2388,0,-0.1459
-0.5023,-0.2127,0,2.2962
-1.8734,-0.5339,0,-1.7249
0.919,0.7935,0,-0.3831
1.3024,0.5496,0,0.7862
0.2565,1.3861,1,-0.443
-1.1152,0.3714,1,-0.0033
1.1984,0.4326,0,2.5848
-0.773,-0.212,0,0.0658
0.1257,0.2014,0,1.4007
-0.0214,0.2381,1,0.6497
-1.574,-0.6308,0,0.7375
-0.7146,-1.013,0,-0.1984
0.5363,0.4421,0,-1.629
0.2956,0.2741,1,1.0877
-0.9334,-0.983,0,0.5568
0.6128,0.825,0,0.5357
0.002,0.5487,1,-0.15
-1.0922,-0.0462,1,-0.6481
-0.6301,0.1903,1,1.3226
-0.5873,-0.9371,0,0.3267
-0.3711,0.0659,1,-1.8288
-0.0161,-0.0336,0,-0.0535
0.2263,0.1817,0,-0.304
0.0913,-0.2191,0,-2.6264
-0.2323,0.1621,0,-0.7481
0.6764,0.7495,1,2.5961
-2.0519,-1.031,0,-2.36
-0.9228,-0.2105,1,-1.1542
0.3638,0.2322,0,-2.4331
0.0813,0.5514,1,-1.5829
0.2691,-0.6632,0,-1.8384
1.5043,0.6924,1,-1.1845
1.4627,1.4806,1,1.716
0.6774,0.997,1,0.906
-0.9306,-0.5109,0,-0.2591
-0.8581,0.2715,1,1.6738
-0.8607,0.1429,1,-0.4761
1.4329,0.6334,0,-0.9554
0.6429,0.6105,0,-0.433
0.9737,0.7449,1,-1.5835
-1.019,0.2869,1,-1.8861
0.8782,0.9632,1,0.6598
-0.0182,0.6218,1,0.3317
-0.43,-0.3243,0,-1.2873
-0.1017,-0.0207,0,0.4673
0.6184,0.8106,0,0.5073
-0.1465,0.5345,1,-0.6044
-0.5088,-0.1351,1,-0.9529
0.1733,-0.3529,0,0.7916
0.8795,1.1973,1,0.4478
-1.6022,-0.4594,1,1.74
0.3184,0.6632,1,0.436
-0.5855,0.1732,1,-1.7728
1.1167,1.0803,1,-1.5323
-1.1149,-0.4177,1,-0.2177
-0.6747,-0.0012,1,0.809
-1.7831,-0.7353,1,0.3209
0.6617,1.6419,1,-0.6168
-1.0274,-0.3752,1,-1.6827
-0.6263,-0.4951,0,1.4689
0.2777,1.408,1,1.421
0.4003,0.2499,0,-1.4073
0.9178,0.9121,1,0.6645
0.2411,1.0189,1,0.2552
0.772,0.9213,1,0.6842
2.1798,1.3113,0,1.5179
0.7706,0.4536,0,1.4252
0.226,0.7442,1,0.5064
-0.1931,-0.1548,0,-0.2438
0.415,0.2146,0,-0.2994
-1.3334,-0.9908,0,-0.2188
-0.0943,0.2495,0,2.7299
-1.6626,-0.8338,0,0.0452
-1.1362,-0.039,0,0.7798
-1.4878,-0.8234,1,0.416
0.2697,0.6146,0,-0.9893
0.6563,0.4981,1,0.4778
1.1868,0.8388,0,-0.6623
-0.7153,-1.4162,0,-0.9465
-0.6354,0.2908,1,0.5942
1.26,1.4257,1,-1.2646
-0.4624,-0.5084,0,0.8775
-0.6306,0.2514,1,0.5702
1.1951,1.2342,1,1.2649
1.2543,1.0796,1,0.48
0.8257,0.6107,1,-0.9556
0.6025,1.1408,1,1.1142
0.3379,0.3155,0,1.1658
1.6162,1.6516,1,0.8935
0.4344,0.6725,1,0.7331
-0.2021,-0.3342,0,-1.4779
0.8495,1.066,1,0.856
0.0458,0.769,1,-1.2492
-0.8771,-0.2024,0,-0.6216
-0.2073,-0.1822,0,-0.8317
2.0153,1.5408,1,-1.5686
0.6467,0.2753,0,0.1774
0.2377,-0.0941,0,-0.0311
-0.1383,0.2736,1,1.3282
-1.0447,-0.6134,0,1.2053
-0.5017,0.0144,0,0.1769
-0.2713,-0.4752,0,0.7881
0.2204,0.8098,1,-0.1042
0.5199,-0.2628,0,-0.1105
-0.6501,-0.2479,1,0.1256
-0.4044,-0.151,1,-0.1507
-0.1816,-0.0919,0,0.2121
1.1433,1.3619,1,0.6634
0.7379,0.9474,1,-1.2197
-1.2504,0.0528,1,-0.4081
-1.034,-0.6716,0,0.7759
-0.6554,-0.6473,0,-0.5543
0.4686,0.7298,0,-0.5332
0.4481,-0.1133,0,1.0155
-0.1596,-0.4489,0,-0.74
0.8728,1.135,1,0.4335
1.2293,0.3526,0,0.1498
-0.8739,-0.807,0,0.8876
1.2266,1.3271,1,-0.0661
0.7508,0.7095,1,-0.7905
1.7853,2.1067,1,-0.6522
1.0672,0.631,0,1.6559
0.0595,0.8448,1,-0.5336
-0.862,-0.8375,0,-0.599
0.3339,0.7456,1,-0.4617
-0.6727,0.001,1,-0.2706
0.1705,0.4072,0,-0.4081
-0.5737,-0.6948,0,0.5646
-0.4977,0.2392,0,0.1016
-1.7686,-0.4527,1,-0.5902
-0.064,0.6562,1,0.7225
0.2422,0.4364,1,0.2817
-0.3755,0.0441,1,1.3269
0.0002,-0.6954,0,0.3164
-0.8186,-0.4521,0,-0.1281
0.6989,0.578,0,-0.2035
-0.1,0.5039,1,0.1452
1.7541,1.2442,1,0.367
0.0067,0.5793,1,-0.0021
0.4989,0.3032,0,-0.4407
0.1359,0.4205,1,0.6267
0.8221,1.3977,1,0.4331
-0.5235,-0.6994,0,0.0186
1.543,1.3429,1,0.6684
1.7091,0.8198,0,-0.0764
-0.3937,0.5338,1,0.0122
-0.5219,-0.3195,0,0.6315
-0.1971,0.3977,1,0.8009
-1.3297,-0.9532,0,0.6533
0.3704,0.812,1,-0.7646
-0.1677,-0.0857,0,0.3759
0.8836,0.8252,1,0.0435
0.8303,1.2989,1,0.3918
0.6331,0.3363,0,1.8236
-0.1702,-0.1508,0,-0.2105
0.1124,0.0751,1,0.022
0.2507,0.3407,0,-0.5627
0.5903,0.2169,0,-0.1918
0.0406,-0.1944,0,-0.6774
0.5453,0.8009,1,-1.073
-0.6188,-0.2438,0,-1.9556
-0.4337,0.1226,0,-0.6953
-1.4961,-0.54,0,-0.6265
-0.6695,-0.2056,0,-0.0588
-1.0822,-0.739,0,-0.5393
0.4754,0.0795,0,1.0325
-0.38,0.2598,0,0.2268
0.9059,0.6845,0,0.742
1.3676,0.9941,0,0.983
-0.3146,-0.3355,0,1.387
-0.8369,0.2714,1,0.973
0.7797,0.5288,1,-0.8838
0.1968,0.3671,1,0.8592
0.0267,0.1163,0,0.3204
0.0314,0.523,1,1.3465
-0.5253,-0.5596,0,0.0258
1.7108,1.7349,1,1.1445
-0.1854,0.7365,1,0.0999
-0.2142,0.354,1,0.1397
0.7852,0.5982,1,0.666
1.9053,0.8514,0,-0.3146
0.1527,-0.2447,0,0.5527
-1.3303,-0.4806,0,-1.5185
-0.4344,-0.4595,0,0.4836
-1.3571,-0.7612,1,-1.2718
-0.089,-0.1766,0,0.5543
1.5993,0.5352,0,-3.1207
-0.167,-0.0981,1,-1.8146
-0.1952,0.2719,1,0.0529
1.1059,0.4564,0,0.0704
0.2083,0.7926,1,-0.2527
1.1406,0.8253,0,0.7224
0.1897,0.0979,1,0.9325
0.7091,0.4188,1,2.5309
-0.5996,0.1645,1,0.044
-0.7051,0.0953,1,1.0345
0.6335,0.812,0,-0.8286
-0.3568,0.0882,0,-0.5469
2.7367,2.2604,1,-0.8209
0.9125,0.8247,1,-0.1101
0.6214,0.4696,0,0.2232
-0.3976,0.7572,1,1.0419
-1.1899,-0.7218,0,0.3457
0.9712,0.8534,0,1.3367
-1.5443,-0.7374,0,1.3532
-0.3743,-0.4923,0,0.0403
0.1373,0.6217,1,-0.1042
2.6739,1.8492,1,-1.5248
2.3387,1.3459,1,-0.5428
0.2481,0.0482,0,-0.8092
2.3054,1.6365,1,-0.7656
-0.9708,-0.6387,0,-0.4238
0.5722,0.4541,0,0.5262
1.5845,1.5064,1,0.29
0.1226,0.1039,1,0.9884
0.3287,0.5365,1,0.3847
0.3767,-0.0684,0,-0.5914
0.6718,1.2018,1,0.757
-0.9696,-0.5804,0,-1.3708
0.3759,0.3891,0,0.9772
0.2807,0.4015,1,-0.7658
-0.424,0.2394,1,-2.2958
0.8475,0.7476,0,0.5445
0.8278,0.7154,0,-0.309
-0.4723,0.1735,1,1.1747
1.2806,1.0175,1,0.9628
1.3478,1.3852,1,-0.9862
1.6356,1.325,0,1.523
-0.1418,-0.0652,0,-1.8844
1.4059,1.3303,1,0.4649
-0.2629,-0.1619,0,1.4246
-0.2402,0.1122,0,-1.0156
