running_var,treated,y,near_cutoff
0.6629,1,0.6366,1
0.1253,0,-0.0438,0
0.1739,0,0.1964,0
0.0957,0,0.0567,0
0.7686,1,0.4319,1
0.3672,0,-0.0573,1
0.6322,1,0.7255,1
0.9833,1,0.6496,0
0.4311,0,0.122,1
0.5725,1,0.61,1
0.9257,1,0.5853,0
0.359,0,0.0484,1
0.1491,0,-0.1791,0
0.4413,0,-0.0647,1
0.4638,0,0.262,1
0.6918,1,0.3978,1
0.2693,0,-0.0637,1
0.4119,0,0.2282,1
0.7039,1,0.4358,1
0.7722,1,0.4389,1
0.7863,1,0.3036,1
0.5981,1,0.279,1
0.405,0,0.1188,1
0.3833,0,0.0973,1
0.5347,1,0.3804,1
0.3623,0,0.3395,1
0.5288,1,0.4311,1
0.9043,1,0.6008,0
0.7707,1,0.3168,1
0.1176,0,0.0049,0
0.3651,0,0.0693,1
0.017,0,-0.0825,0
0.6056,1,0.7729,1
0.4239,0,0.0923,1
0.9326,1,0.5952,0
0.0049,0,0.0828,0
0.2661,0,0.0519,1
0.205,0,0.0534,1
0.2189,0,0.1817,1
0.998,1,0.3713,0
0.453,0,0.3656,1
0.4502,0,0.1872,1
0.715,1,0.716,1
0.138,0,0.1363,0
0.3955,0,-0.1507,1
0.4766,0,0.0082,1
0.5199,1,0.3721,1
0.4164,0,-0.1008,1
0.0911,0,-0.004,0
0.237,0,-0.112,1
0.9785,1,0.5225,0
0.7265,1,0.3626,1
0.051,0,-0.0186,0
0.0796,0,0.1969,0
0.0625,0,-0.099,0
0.1751,0,0.0794,0
0.2442,0,-0.0669,1
0.8615,1,0.6144,0
0.7843,1,0.4124,1
0.594,1,0.5152,1
0.0126,0,-0.2889,0
0.9567,1,0.3613,0
0.6804,1,0.555,1
0.535,1,0.6243,1
0.6596,1,0.619,1
0.9213,1,0.5871,0
0.0024,0,-0.101,0
0.1594,0,-0.1451,0
0.2924,0,0.0586,1
0.9535,1,0.3994,0
0.7917,1,0.4414,1
0.0397,0,0.0737,0
0.7919,1,0.4223,1
0.1995,0,-0.0123,0
0.0122,0,-0.0343,0
0.4858,0,0.2057,1
0.0002,0,-0.0555,0
0.3766,0,0.2886,1
0.4877,0,0.2574,1
0.9776,1,0.7514,0
0.1024,0,0.0823,0
0.274,0,0.3106,1
0.2727,0,0.1055,1
0.8988,1,0.6213,0
0.5617,1,0.2009,1
0.2885,0,0.1389,1
0.9829,1,0.662,0
0.1993,0,0.1163,0
0.7457,1,0.627,1
0.5405,1,0.4866,1
0.0613,0,-0.0014,0
0.346,0,0.2959,1
0.4909,0,-0.0206,1
0.0287,0,0.1201,0
0.5937,1,0.4492,1
0.7372,1,0.5599,1
0.5645,1,0.3657,1
0.4582,0,0.2229,1
0.9359,1,0.4096,0
0.6633,1,0.4159,1
0.8371,1,0.5661,0
0.8187,1,0.4004,0
0.96,1,0.724,0
0.5329,1,0.5912,1
0.1363,0,-0.0514,0
0.9348,1,0.6621,0
0.592,1,0.3742,1
0.4282,0,0.3535,1
0.4328,0,-0.2071,1
0.7499,1,0.6222,1
0.032,0,0.1356,0
0.4577,0,0.0361,1
0.4798,0,0.2035,1
0.3033,0,-0.0037,1
0.9413,1,0.4632,0
0.4013,0,0.2675,1
0.2586,0,0.2995,1
0.442,0,-0.0002,1
0.3517,0,0.2589,1
0.6134,1,0.6019,1
0.0095,0,-0.2275,0
0.9028,1,0.4524,0
0.87,1,0.3956,0
0.29,0,0.0996,1
0.5671,1,0.339,1
0.2416,0,0.0724,1
0.4425,0,0.2692,1
0.1644,0,0.1216,0
0.2108,0,-0.0351,1
0.7073,1,0.6287,1
0.014,0,0.1426,0
0.2147,0,0.2103,1
0.8657,1,0.669,0
0.989,1,0.3986,0
0.106,0,0.1543,0
0.581,1,0.4046,1
0.6628,1,0.4258,1
0.0353,0,0.0086,0
0.3349,0,0.1079,1
0.9289,1,0.2843,0
0.3771,0,0.1851,1
0.9027,1,0.5675,0
0.388,0,0.1452,1
0.8097,1,0.3053,0
0.4141,0,-0.001,1
0.2273,0,0.0079,1
0.4376,0,0.1846,1
0.8146,1,0.6483,0
0.89,1,0.443,0
0.3411,0,0.2206,1
0.3857,0,0.0185,1
0.9444,1,0.491,0
0.2581,0,0.0538,1
0.3789,0,0.0358,1
0.1003,0,0.0778,0
0.7841,1,0.4096,1
0.4751,0,0.2145,1
0.8812,1,0.5551,0
0.7102,1,0.301,1
0.2156,0,0.1961,1
0.539,1,0.4992,1
0.2497,0,0.1077,1
0.5618,1,0.3642,1
0.2,0,-0.168,0
0.0341,0,0.0622,0
0.0357,0,0.4093,0
0.9861,1,0.1876,0
0.638,1,0.6096,1
0.6895,1,0.321,1
0.9228,1,0.6463,0
0.8981,1,0.3934,0
0.2669,0,0.1742,1
0.6784,1,0.6616,1
0.7211,1,0.5038,1
0.2341,0,0.1427,1
0.0399,0,0.0477,0
0.0025,0,-0.1122,0
0.5463,1,0.4249,1
0.7972,1,0.5977,1
0.5542,1,0.6407,1
0.2436,0,-0.0134,1
0.8633,1,0.6098,0
0.8023,1,0.4686,0
0.5549,1,0.5394,1
0.9974,1,0.6863,0
0.1126,0,0.0157,0
0.5443,1,0.5065,1
0.0144,0,-0.2184,0
0.2481,0,0.1593,1
0.311,0,0.1497,1
0.5004,1,0.5859,1
0.9717,1,0.2961,0
0.6727,1,0.4663,1
0.3701,0,-0.0708,1
0.3692,0,-0.0645,1
0.8875,1,0.2458,0
0.4365,0,0.169,1
0.4538,0,0.0468,1
0.6929,1,0.5043,1
0.2055,0,0.0809,1
0.9379,1,0.6249,0
0.8219,1,0.6202,0
0.1665,0,0.2455,0
0.0321,0,0.0004,0
0.5761,1,0.4001,1
0.8325,1,0.3562,0
0.9272,1,0.6324,0
0.8285,1,0.408,0
0.2824,0,0.1128,1
0.1875,0,0.3552,0
0.4217,0,-0.1037,1
0.802,1,0.3509,0
0.1715,0,0.0658,0
0.5311,1,0.2707,1
0.3317,0,0.2801,1
0.1579,0,-0.1022,0
0.938,1,0.5499,0
0.0133,0,0.0687,0
0.8236,1,0.3245,0
0.7994,1,0.5262,1
0.4224,0,0.3297,1
0.2729,0,0.1566,1
0.9376,1,0.5031,0
0.5344,1,0.5432,1
0.9258,1,0.211,0
0.0797,0,-0.0626,0
0.4199,0,-0.1013,1
0.5013,1,0.4638,1
0.1162,0,0.0447,0
0.257,0,-0.06,1
0.3249,0,0.2501,1
0.6115,1,0.1635,1
0.3057,0,0.3339,1
0.726,1,0.6462,1
0.0387,0,0.0249,0
0.0231,0,-0.0753,0
0.9221,1,0.5147,0
0.2558,0,0.1206,1
0.5535,1,0.3451,1
0.2971,0,0.0642,1
0.3656,0,0.1547,1
0.9871,1,0.66,0
0.0574,0,0.2162,0
0.481,0,0.3613,1
0.8816,1,0.5291,0
0.3275,0,-0.1406,1
0.9944,1,0.5727,0
0.6522,1,0.671,1
0.2878,0,0.0676,1
0.8745,1,0.7794,0
0.3962,0,-0.0681,1
0.208,0,0.1231,1
0.5368,1,0.5016,1
0.2572,0,0.3336,1
0.2618,0,0.0853,1
0.5442,1,0.5071,1
0.035,0,0.1118,0
0.7326,1,0.3369,1
0.492,0,0.0581,1
0.8794,1,0.5921,0
0.3999,0,0.1452,1
0.0747,0,-0.022,0
0.9487,1,0.6234,0
0.2641,0,0.1023,1
0.5384,1,0.5839,1
0.9375,1,0.4797,0
0.5707,1,0.4958,1
0.0286,0,-0.0496,0
0.9436,1,0.4845,0
0.4596,0,0.3288,1
0.7412,1,0.6447,1
0.3951,0,0.1338,1
0.5151,1,0.352,1
0.8995,1,0.7459,0
0.1916,0,0.3294,0
0.6069,1,0.2457,1
0.1896,0,-0.036,0
0.5365,1,0.3583,1
0.5105,1,0.3986,1
0.5128,1,0.3736,1
0.2703,0,0.0583,1
0.399,0,0.2175,1
0.6243,1,0.4204,1
0.9586,1,0.5025,0
0.5705,1,0.433,1
0.0154,0,0.0396,0
0.0664,0,0.0342,0
0.7843,1,0.5611,1
0.1136,0,0.0271,0
