series_id,time_offset,observation,reference_series,sensitivity_coefficient
0,-10,0.055602,0.018344,1.1009
0,-9,-0.028077,-0.015887,1.1009
0,-8,0.028384,-0.004927,1.1009
0,-7,0.01568,-0.000383,1.1009
0,-6,-0.014376,0.003297,1.1009
0,-5,-0.029359,-0.018298,1.1009
0,-4,0.029684,0.023469,1.1009
0,-3,-0.009353,0.010844,1.1009
0,-2,0.008415,-0.002952,1.1009
0,-1,-0.01266,-0.010612,1.1009
0,0,-0.016977,-0.008498,1.1009
0,1,-0.005049,0.004285,1.1009
0,2,-0.013513,0.009011,1.1009
0,3,-0.01749,0.010332,1.1009
0,4,-0.042363,0.006557,1.1009
0,5,0.006832,-0.007164,1.1009
0,6,-0.003791,0.00641,1.1009
0,7,-0.045171,-0.007939,1.1009
0,8,-0.023605,-0.002344,1.1009
0,9,0.016674,0.019445,1.1009
0,10,-0.017503,0.001389,1.1009
1,-10,-0.014143,-0.018913,1.2676
1,-9,-0.019707,0.00102,1.2676
1,-8,-0.014086,-0.020649,1.2676
1,-7,-0.001546,-0.004916,1.2676
1,-6,-0.004796,-0.002338,1.2676
1,-5,-0.009594,-0.005623,1.2676
1,-4,0.002241,0.006071,1.2676
1,-3,0.003956,-0.003028,1.2676
1,-2,-0.009455,0.007042,1.2676
1,-1,-0.009161,1.1e-05,1.2676
1,0,0.000745,0.000437,1.2676
1,1,0.016076,0.00389,1.2676
1,2,-0.020652,0.002496,1.2676
1,3,-0.019049,0.000103,1.2676
1,4,-0.031725,0.003529,1.2676
1,5,-0.03476,-0.002032,1.2676
1,6,-0.036772,0.010596,1.2676
1,7,-0.041722,0.001869,1.2676
1,8,-0.021443,0.004622,1.2676
1,9,-0.029835,-0.017868,1.2676
1,10,-0.053309,-0.024864,1.2676
2,-10,-0.022195,-0.015802,1.0019
2,-9,0.029803,0.011137,1.0019
2,-8,0.052933,0.013107,1.0019
2,-7,0.002166,-0.004787,1.0019
2,-6,-0.031415,-0.003159,1.0019
2,-5,-0.02914,-0.0006,1.0019
2,-4,-0.025563,-0.004908,1.0019
2,-3,-0.005604,0.004689,1.0019
2,-2,-0.003224,-0.017552,1.0019
2,-1,-0.010853,-0.005738,1.0019
2,0,-0.010883,-0.009478,1.0019
2,1,-0.024809,0.003005,1.0019
2,2,0.00016,-0.01884,1.0019
2,3,0.023155,0.020094,1.0019
2,4,-0.032882,-0.006732,1.0019
2,5,-0.027716,0.004307,1.0019
2,6,-0.006357,-0.009594,1.0019
2,7,-0.035673,-0.000251,1.0019
2,8,-0.017386,0.009827,1.0019
2,9,-0.055176,-0.019494,1.0019
2,10,-0.020198,-0.004865,1.0019
3,-10,-0.008317,-0.00207,1.2367
3,-9,0.031676,0.01275,1.2367
3,-8,0.003339,-0.001835,1.2367
3,-7,-0.021712,-0.004453,1.2367
3,-6,0.020643,0.022272,1.2367
3,-5,-0.017483,0.00325,1.2367
3,-4,-0.007382,0.007665,1.2367
3,-3,0.049311,0.01708,1.2367
3,-2,0.010317,0.005956,1.2367
3,-1,-0.001432,-0.001574,1.2367
3,0,-0.011994,0.004392,1.2367
3,1,-0.020035,0.010117,1.2367
3,2,-0.005844,0.015581,1.2367
3,3,-0.022186,-0.007159,1.2367
3,4,-0.039176,0.004566,1.2367
3,5,-0.056932,-0.004511,1.2367
3,6,-0.036247,-0.006457,1.2367
3,7,-0.02654,0.003275,1.2367
3,8,-0.005658,-0.00521,1.2367
3,9,-0.006687,0.020942,1.2367
3,10,2.1e-05,0.010493,1.2367
4,-10,-0.022006,-0.029978,0.8696
4,-9,-0.007885,-0.010468,0.8696
4,-8,0.045723,0.02601,0.8696
4,-7,-0.022332,-0.00737,0.8696
4,-6,-0.004359,0.01323,0.8696
4,-5,0.049126,0.010211,0.8696
4,-4,0.023103,0.007054,0.8696
4,-3,0.0004,0.01098,0.8696
4,-2,-0.012353,0.003202,0.8696
4,-1,-0.00559,0.013199,0.8696
4,0,0.002541,0.00731,0.8696
4,1,-0.03562,-0.004616,0.8696
4,2,-0.035392,-0.001397,0.8696
4,3,-0.032925,0.001864,0.8696
4,4,-0.019671,-0.008146,0.8696
4,5,-0.019563,0.006476,0.8696
4,6,-0.017284,-0.016164,0.8696
4,7,0.006505,-0.004184,0.8696
4,8,-0.019645,-0.001024,0.8696
4,9,-0.020634,-0.004018,0.8696
4,10,0.004466,0.035066,0.8696
5,-10,-0.014408,0.012038,1.2028
5,-9,0.02896,0.019749,1.2028
5,-8,0.010781,-0.002378,1.2028
5,-7,-0.015036,0.001739,1.2028
5,-6,-0.001305,-0.023933,1.2028
