entity_id,wave,group_indicator,phase_indicator,group_phase_interaction,outcome
0,1,1,0,0,0.8277
1,1,1,0,0,1.3405
2,1,1,0,0,0.0687
3,1,1,0,0,0.1576
4,1,1,0,0,1.4645
5,1,1,0,0,0.1463
6,1,1,0,0,0.1306
7,1,1,0,0,0.4964
8,1,1,0,0,-0.8155
9,1,1,0,0,0.6083
10,1,1,0,0,0.7339
11,1,1,0,0,-0.2031
12,1,1,0,0,0.365
13,1,1,0,0,0.7448
14,1,1,0,0,-0.4858
15,1,1,0,0,-0.4724
16,1,1,0,0,-0.0604
17,1,1,0,0,0.0876
18,1,1,0,0,0.3569
19,1,1,0,0,-0.2681
20,1,1,0,0,0.7809
21,1,1,0,0,0.4206
22,1,1,0,0,0.8927
23,1,1,0,0,0.5253
24,1,1,0,0,0.3465
25,1,1,0,0,-0.0443
26,1,1,0,0,0.3182
27,1,1,0,0,0.5295
28,1,1,0,0,0.1522
29,1,1,0,0,1.1948
30,1,1,0,0,0.1107
31,1,1,0,0,1.3592
32,1,1,0,0,0.741
33,1,1,0,0,0.5978
34,1,1,0,0,0.222
35,1,1,0,0,-0.0234
36,1,1,0,0,1.4315
37,1,1,0,0,0.557
38,1,1,0,0,0.7532
39,1,1,0,0,0.8825
40,1,1,0,0,0.485
41,1,1,0,0,0.0477
42,1,1,0,0,0.836
43,1,1,0,0,-0.6479
44,1,1,0,0,0.1197
45,1,1,0,0,1.0757
46,1,1,0,0,0.1907
47,1,1,0,0,1.1271
48,1,1,0,0,1.2254
49,1,1,0,0,0.3527
50,1,1,0,0,-0.7254
51,1,1,0,0,-0.0846
52,1,1,0,0,0.5156
53,1,1,0,0,-0.1505
54,1,1,0,0,0.4
55,1,1,0,0,0.5436
56,1,1,0,0,1.5901
57,1,1,0,0,0.0542
58,1,1,0,0,0.66
59,1,1,0,0,0.1666
60,1,1,0,0,0.6622
61,1,1,0,0,0.7932
62,1,1,0,0,1.2591
63,1,1,0,0,0.0543
64,1,1,0,0,0.7146
65,1,1,0,0,0.8044
66,1,1,0,0,0.1779
67,1,1,0,0,1.0207
68,1,1,0,0,1.1183
69,1,1,0,0,0.957
70,1,1,0,0,0.7475
71,1,1,0,0,0.8522
72,1,1,0,0,-0.1912
73,1,1,0,0,0.3858
74,1,1,0,0,0.6847
75,1,1,0,0,0.5772
76,1,1,0,0,0.7394
77,1,1,0,0,0.4964
78,1,1,0,0,-0.6716
79,1,1,0,0,0.6162
80,1,1,0,0,0.6001
81,1,1,0,0,0.3157
82,1,1,0,0,0.9219
83,1,1,0,0,-0.6937
84,1,1,0,0,-0.1254
85,1,1,0,0,0.7985
86,1,1,0,0,0.5672
87,1,1,0,0,1.3469
88,1,1,0,0,0.234
89,1,1,0,0,0.7491
90,1,1,0,0,0.4999
91,1,1,0,0,0.1629
92,1,1,0,0,-0.0626
93,1,1,0,0,-0.1226
94,1,1,0,0,-0.1913
95,1,1,0,0,1.1846
96,1,1,0,0,0.3243
97,1,1,0,0,0.5144
98,1,1,0,0,0.3093
99,1,1,0,0,-0.1948
100,1,0,0,0,0.4236
101,1,0,0,0,-1.0485
102,1,0,0,0,-0.3885
103,1,0,0,0,-0.0574
104,1,0,0,0,0.0788
105,1,0,0,0,-0.4222
106,1,0,0,0,-0.638
107,1,0,0,0,-0.8649
108,1,0,0,0,-0.5186
109,1,0,0,0,-0.3932
110,1,0,0,0,0.1312
111,1,0,0,0,0.0033
112,1,0,0,0,0.1261
113,1,0,0,0,0.1163
114,1,0,0,0,0.2392
115,1,0,0,0,-0.058
116,1,0,0,0,-0.0481
117,1,0,0,0,-0.1198
118,1,0,0,0,-0.1073
119,1,0,0,0,-0.6844
120,1,0,0,0,-1.8233
121,1,0,0,0,-0.1874
122,1,0,0,0,0.6117
123,1,0,0,0,0.4393
124,1,0,0,0,0.1857
125,1,0,0,0,1.0122
126,1,0,0,0,0.0179
127,1,0,0,0,0.0325
128,1,0,0,0,-0.0733
129,1,0,0,0,1.0315
130,1,0,0,0,-0.1074
131,1,0,0,0,0.4869
132,1,0,0,0,-0.7088
133,1,0,0,0,1.2128
134,1,0,0,0,0.1215
135,1,0,0,0,0.582
136,1,0,0,0,1.7557
137,1,0,0,0,-0.1769
138,1,0,0,0,-0.6664
139,1,0,0,0,-0.3883
140,1,0,0,0,-0.7589
141,1,0,0,0,0.0418
142,1,0,0,0,-0.22
143,1,0,0,0,-0.2191
144,1,0,0,0,-0.3904
145,1,0,0,0,0.0798
146,1,0,0,0,0.5056
147,1,0,0,0,-0.1949
148,1,0,0,0,0.4628
149,1,0,0,0,0.3746
150,1,0,0,0,0.5215
151,1,0,0,0,0.2425
152,1,0,0,0,-0.5835
153,1,0,0,0,0.2852
154,1,0,0,0,0.3615
155,1,0,0,0,-0.2452
156,1,0,0,0,-0.0439
157,1,0,0,0,0.5039
158,1,0,0,0,-0.594
159,1,0,0,0,0.358
160,1,0,0,0,-0.0036
