outcome,focal_variable,auxiliary_variable,covariate_a
0.7249,0.5475,1,-0.0822
-0.0817,-0.2227,0,-0.2445
-1.1538,-0.4352,0,0.3557
0.7176,0.7494,0,-0.4956
-0.1182,-0.1524,0,-0.9614
-0.6297,-0.9267,0,0.0763
-0.2877,-0.0265,0,0.7079
-1.1663,0.0451,1,-0.1239
-0.5966,-0.2049,0,0.483
0.1408,0.9009,1,0.7204
0.8791,0.8014,1,0.6636
-1.4528,0.0442,1,0.5714
0.6427,0.477,0,0.6207
-0.6313,-0.418,0,0.2905
0.2761,0.5428,1,-2.1302
0.054,0.8364,1,-0.719
-0.2004,0.3853,1,-0.271
-1.9744,-1.3164,0,0.8226
-0.3593,0.1766,0,-0.4832
1.3711,1.4221,1,0.979
0.5626,0.3741,0,1.433
2.1995,1.4166,0,2.1971
0.1275,0.4896,0,0.6325
-0.3782,0.3063,1,-0.665
0.3327,0.7245,1,0.3913
-0.0664,1.0414,1,0.8305
-0.4171,0.4996,1,-1.4997
0.7179,0.8876,1,1.1953
0.7858,1.1719,1,-0.506
-1.0571,-0.0156,1,0.2034
0.7896,0.5311,0,-1.0276
0.0245,0.0782,0,1.0683
1.8441,0.8826,0,-1.8553
0.4883,0.382,0,-0.0608
0.9114,0.4304,0,-0.4991
0.1899,0.6323,0,0.7856
-0.836,-0.061,1,-0.4247
1.1396,0.8968,0,1.2461
1.1623,0.8948,1,-0.2894
2.0653,1.8709,1,0.6085
-0.3794,0.486,1,0.7
0.9517,0.7459,1,0.3873
0.2273,0.0807,1,0.5409
-0.7304,-0.4858,0,-1.5884
-1.0368,-0.5686,0,-0.5742
-0.787,-0.8057,0,-0.498
-0.737,-0.6436,0,0.663
0.2652,-0.3163,0,1.1771
0.5088,0.1155,1,0.2786
-0.257,-0.1559,0,-0.3034
0.8331,0.2245,0,0.0241
1.2808,1.153,1,0.3041
0.1537,1.0234,1,-0.0838
0.5147,0.5256,1,-0.6627
-1.0255,-0.471,0,-1.1572
0.9158,0.53,1,-1.009
-0.0807,0.0228,0,-1.1488
0.9484,1.2103,1,0.1702
0.8989,-0.1307,0,-0.6355
-0.1078,-0.281,0,0.6323
1.3213,1.6668,1,-2.2221
-0.1781,0.133,0,-0.808
-0.0108,-0.1565,0,-0.1767
-0.9125,-0.1456,1,0.1704
0.7603,0.6081,0,0.0777
0.4979,0.437,1,0.9771
1.8189,1.3659,1,1.4854
0.0706,0.3335,0,0.4578
-1.3407,-0.42,0,0.1237
0.0327,0.6575,1,0.5365
0.6208,0.8596,1,-0.1015
-0.8343,-0.3276,1,1.1992
-0.0249,0.0054,0,-0.0425
-0.6206,0.2753,1,-0.1913
0.2762,0.0439,0,0.496
0.0688,0.5193,1,-0.6674
-0.2759,0.5722,1,1.5374
-0.3814,-0.3304,0,-1.5062
1.8283,1.3524,1,-1.0334
0.3834,0.4312,1,1.0971
0.2747,0.4453,1,1.6313
-0.2192,-0.0577,1,1.9897
0.2984,-0.149,0,-0.537
0.8397,0.2835,0,-0.0831
0.9639,0.7371,0,0.3228
0.1012,0.4157,0,0.4518
1.5162,1.3691,1,1.0744
0.1866,0.1113,1,0.4524
-0.1445,0.2888,0,2.5951
0.1678,0.4822,0,1.1267
0.0223,0.3778,1,1.2183
