assignment_score,status_flag,outcome,proximity_flag
0.3657,0,0.2788,1
0.1547,0,0.0541,0
0.7678,1,0.9206,1
0.2303,0,0.2032,1
0.7477,1,0.3746,1
0.6608,1,0.346,1
0.23,0,-0.0913,1
0.9311,1,0.534,0
0.247,0,-0.1994,1
0.5408,1,0.3694,1
0.301,0,-0.4342,1
0.8941,1,0.7709,0
0.1061,0,0.0125,0
0.1859,0,0.5535,0
0.9022,1,0.5174,0
0.8484,1,0.4764,0
0.7496,1,0.2598,1
0.9853,1,0.5072,0
0.1087,0,0.4149,0
0.1418,0,0.0897,0
0.0507,0,0.2364,0
0.4613,0,0.146,1
0.6445,1,0.7473,1
0.5398,1,0.5765,1
0.0113,0,-0.1464,0
0.8666,1,0.6284,0
0.545,1,0.634,1
0.1371,0,-0.3759,0
0.2167,0,-0.0694,1
0.4484,0,-0.1966,1
0.4871,0,0.3298,1
0.6615,1,0.5749,1
0.4129,0,0.0945,1
0.8631,1,0.49,0
0.74,1,0.5205,1
0.6678,1,0.5153,1
0.8854,1,0.9962,0
0.9035,1,0.4765,0
0.7816,1,0.5097,1
0.248,0,0.1987,1
0.2053,0,0.2515,1
0.1518,0,0.073,0
0.2463,0,0.1416,1
0.9667,1,0.5355,0
0.6705,1,0.3995,1
0.3061,0,0.6728,1
0.5646,1,0.4476,1
0.4488,0,0.4553,1
0.5671,1,0.3673,1
0.4175,0,-0.0769,1
0.6685,1,0.1755,1
0.8798,1,0.451,0
0.8913,1,0.1172,0
0.8481,1,0.7729,0
0.304,0,0.0562,1
0.9954,1,0.5835,0
0.779,1,0.2948,1
0.818,1,0.2146,0
0.5139,1,0.1919,1
0.5964,1,0.6651,1
0.8355,1,0.6883,0
0.1461,0,0.0236,0
0.4456,0,-0.1099,1
0.68,1,0.4735,1
0.394,0,0.3594,1
0.8612,1,0.8895,0
0.6661,1,0.9095,1
0.8291,1,0.5713,0
0.8215,1,0.3445,0
0.5912,1,0.4822,1
0.7842,1,0.3416,1
0.8724,1,0.7595,0
0.9921,1,0.832,0
0.7595,1,0.4433,1
0.5805,1,0.5732,1
0.6882,1,0.6971,1
0.5709,1,0.1859,1
0.2203,0,0.2877,1
0.0965,0,0.0705,0
0.9939,1,0.453,0
0.9698,1,0.274,0
0.3053,0,0.1689,1
0.6855,1,0.5936,1
0.4393,0,0.573,1
