model,true_method,pred_DID,pred_EVENT_STUDY,pred_IV,pred_RDD,pred_OTHER,n_total
Kimi-128k,DID,98,0,0,3,0,101
Kimi-128k,EVENT_STUDY,5,8,0,0,0,13
Kimi-128k,IV,13,0,18,1,0,32
Kimi-128k,RDD,10,0,1,30,0,41
Claude-Sonnet,DID,79,3,11,5,3,101
Claude-Sonnet,EVENT_STUDY,5,8,0,0,0,13
Claude-Sonnet,IV,2,0,28,2,0,32
Claude-Sonnet,RDD,1,1,3,36,0,41
GPT-4o,DID,91,4,5,1,0,101
GPT-4o,EVENT_STUDY,2,11,0,0,0,13
GPT-4o,IV,4,0,26,2,0,32
GPT-4o,RDD,1,0,2,38,0,41
o3,DID,78,10,11,2,0,101
o3,EVENT_STUDY,5,7,1,0,0,13
o3,IV,3,1,28,0,0,32
o3,RDD,5,0,3,33,0,41
Claude-Opus,DID,69,7,22,1,2,101
Claude-Opus,EVENT_STUDY,3,10,0,0,0,13
Claude-Opus,IV,0,0,29,3,0,32
Claude-Opus,RDD,0,0,3,38,0,41
Gemini-2.5,DID,73,12,11,5,0,101
Gemini-2.5,EVENT_STUDY,6,6,0,1,0,13
Gemini-2.5,IV,1,0,30,0,1,32
Gemini-2.5,RDD,2,1,2,36,0,41
GPT-5,DID,59,20,20,2,0,101
GPT-5,EVENT_STUDY,4,8,1,0,0,13
GPT-5,IV,3,0,28,1,0,32
GPT-5,RDD,2,4,4,31,0,41
