model,method,n_L3,L3_pct,n_L4,L4_pct
Kimi-128k,DID,101,97.0,39,79.5
Kimi-128k,EVENT_STUDY,13,61.5,6,66.7
Kimi-128k,IV,32,56.2,18,88.9
Kimi-128k,RDD,41,73.2,13,84.6
Claude-Sonnet,DID,101,78.2,39,76.9
Claude-Sonnet,EVENT_STUDY,13,61.5,6,83.3
Claude-Sonnet,IV,32,87.5,18,100.0
Claude-Sonnet,RDD,41,87.8,13,100.0
GPT-4o,DID,101,90.1,39,79.5
GPT-4o,EVENT_STUDY,13,84.6,6,66.7
GPT-4o,IV,32,81.2,18,83.3
GPT-4o,RDD,41,92.7,13,84.6
o3,DID,101,77.2,39,69.2
o3,EVENT_STUDY,13,53.8,6,66.7
o3,IV,32,87.5,18,83.3
o3,RDD,41,80.5,13,84.6
Claude-Opus,DID,101,68.3,39,74.4
Claude-Opus,EVENT_STUDY,13,76.9,6,50.0
Claude-Opus,IV,32,90.6,18,94.4
Claude-Opus,RDD,41,92.7,13,100.0
Gemini-2.5,DID,101,72.3,39,76.9
Gemini-2.5,EVENT_STUDY,13,46.2,6,83.3
Gemini-2.5,IV,32,93.8,18,83.3
Gemini-2.5,RDD,41,87.8,13,100.0
GPT-5,DID,101,58.4,39,76.9
GPT-5,EVENT_STUDY,13,61.5,6,100.0
GPT-5,IV,32,87.5,18,83.3
GPT-5,RDD,41,75.6,13,84.6
