model,method,n,L2b_count,L2b_plus_v2_count,L2b_plus_v2_rate,P_L2b_plus_v2_given_L2b
Kimi,DID,30,22,5,0.1667,0.2273
Kimi,EVENT_STUDY,24,8,4,0.1667,0.5
Kimi,IV,24,10,1,0.0417,0.1
Kimi,RDD,22,5,0,0.0,0.0
Sonnet,DID,30,20,20,0.6667,1.0
Sonnet,EVENT_STUDY,24,21,21,0.875,1.0
Sonnet,IV,24,3,3,0.125,1.0
Sonnet,RDD,22,7,6,0.2727,0.8571
GPT-4o,DID,30,28,25,0.8333,0.8929
GPT-4o,EVENT_STUDY,24,17,13,0.5417,0.7647
GPT-4o,IV,24,21,15,0.625,0.7143
GPT-4o,RDD,22,12,9,0.4091,0.75
o3,DID,30,8,8,0.2667,1.0
o3,EVENT_STUDY,24,14,12,0.5,0.8571
o3,IV,24,16,16,0.6667,1.0
o3,RDD,22,12,10,0.4545,0.8333
Opus,DID,30,29,29,0.9667,1.0
Opus,EVENT_STUDY,24,23,19,0.7917,0.8261
Opus,IV,24,23,23,0.9583,1.0
Opus,RDD,22,19,17,0.7727,0.8947
Gemini,DID,30,14,14,0.4667,1.0
Gemini,EVENT_STUDY,24,5,5,0.2083,1.0
Gemini,IV,24,13,13,0.5417,1.0
Gemini,RDD,22,0,0,0.0,
GPT-5,DID,30,20,20,0.6667,1.0
GPT-5,EVENT_STUDY,24,18,17,0.7083,0.9444
GPT-5,IV,24,23,23,0.9583,1.0
GPT-5,RDD,22,15,12,0.5455,0.8
