tolerance,model,n_executed_with_relative_error,pass_count,pass_rate
0.1,Kimi,31,9,0.2903
0.1,Sonnet,51,42,0.8235
0.1,GPT-4o,67,53,0.791
0.1,o3,49,38,0.7755
0.1,Opus,94,72,0.766
0.1,Gemini,32,32,1.0
0.1,GPT-5,76,64,0.8421
0.25,Kimi,31,9,0.2903
0.25,Sonnet,51,48,0.9412
0.25,GPT-4o,67,59,0.8806
0.25,o3,49,44,0.898
0.25,Opus,94,84,0.8936
0.25,Gemini,32,32,1.0
0.25,GPT-5,76,71,0.9342
0.5,Kimi,31,10,0.3226
0.5,Sonnet,51,50,0.9804
0.5,GPT-4o,67,62,0.9254
0.5,o3,49,46,0.9388
0.5,Opus,94,88,0.9362
0.5,Gemini,32,32,1.0
0.5,GPT-5,76,72,0.9474
0.75,Kimi,31,13,0.4194
0.75,Sonnet,51,50,0.9804
0.75,GPT-4o,67,63,0.9403
0.75,o3,49,47,0.9592
0.75,Opus,94,88,0.9362
0.75,Gemini,32,32,1.0
0.75,GPT-5,76,72,0.9474
1.0,Kimi,31,14,0.4516
1.0,Sonnet,51,50,0.9804
1.0,GPT-4o,67,63,0.9403
1.0,o3,49,47,0.9592
1.0,Opus,94,88,0.9362
1.0,Gemini,32,32,1.0
1.0,GPT-5,76,72,0.9474
